drug_id,condition_id,average_rating,class
Omalizumab,"Asthma, Maintenance",9.630769231,A
Asmanex Twisthaler,"Asthma, Maintenance",9.6,A
Symbicort,"Asthma, Maintenance",9.517857143,A
Alupent,"Asthma, Maintenance",9.5,A
Flovent,"Asthma, Maintenance",9.5,A
Theo-24,"Asthma, Maintenance",9.5,A
Fluticasone / vilanterol,"Asthma, Maintenance",9.483870968,A
Theophylline,"Asthma, Maintenance",9.428571429,A
Advair HFA,"Asthma, Maintenance",9.333333333,A
Uniphyl,"Asthma, Maintenance",9.333333333,A
Fluticasone / salmeterol,"Asthma, Maintenance",9.16,A
AirDuo Respiclick,"Asthma, Maintenance",9,B
Alvesco,"Asthma, Maintenance",9,B
Arnuity Ellipta,"Asthma, Maintenance",9,B
Ciclesonide,"Asthma, Maintenance",9,B
Maxair,"Asthma, Maintenance",9,B
Maxair Autohaler,"Asthma, Maintenance",9,B
Pirbuterol,"Asthma, Maintenance",9,B
Beclomethasone,"Asthma, Maintenance",8.863636364,B
Qvar,"Asthma, Maintenance",8.8,B
Proventil HFA,"Asthma, Maintenance",8.75,B
Proventil,"Asthma, Maintenance",8.333333333,B
Pulmicort Turbuhaler,"Asthma, Maintenance",8.333333333,B
Xopenex,"Asthma, acute",9.444444444,A
Epinephrine,"Asthma, acute",9.428571429,A
Racepinephrine,"Asthma, acute",9.333333333,A
Xopenex HFA,"Asthma, acute",9.333333333,A
Ventolin,"Asthma, acute",9.285714286,A
Asthmanefrin,"Asthma, acute",9.25,A
Prednisolone,"Asthma, acute",8.888888889,B
Albuterol,"Asthma, acute",8.75,B
Sodium bicarbonate,Asystole,10,A
Capex,Atopic Dermatitis,10,A
Olux-E,Atopic Dermatitis,10,A
Elocon,Atopic Dermatitis,9.857142857,A
Protopic,Atopic Dermatitis,9.714285714,A
Triamcinolone,Atopic Dermatitis,9.658536585,A
Medrol Dosepak,Atopic Dermatitis,9.571428571,A
Cloderm,Atopic Dermatitis,9.5,A
Crisaborole,Atopic Dermatitis,9.25,A
Eucrisa,Atopic Dermatitis,9.25,A
Tacrolimus,Atopic Dermatitis,9.051282051,A
Diprolene AF,Atopic Dermatitis,9,B
Kenalog,Atopic Dermatitis,9,B
Digoxin,Atrial Fibrillation,10,A
Dilt-XR,Atrial Fibrillation,10,A
Lanoxicaps,Atrial Fibrillation,10,A
Sotalol Hydrochloride AF,Atrial Fibrillation,10,A
Tiazac,Atrial Fibrillation,10,A
Flecainide,Atrial Fibrillation,9.340425532,A
Diltiazem,Atrial Fibrillation,9.294117647,A
Rythmol SR,Atrial Fibrillation,9.285714286,A
Carvedilol,Atrial Fibrillation,9.243243243,A
Sotalol,Atrial Fibrillation,9.210526316,A
Multaq,Atrial Fibrillation,9.142857143,A
Dronedarone,Atrial Fibrillation,9.083333333,A
Propafenone,Atrial Fibrillation,9.035714286,A
Rythmol,Atrial Fibrillation,9,B
Xarelto,Atrial Fibrillation,8.85106383,B
Metoprolol,Atrial Fibrillation,8.643939394,B
Cardizem LA,Atrial Fibrillation,8,C
Tambocor,Atrial Flutte,9.285714286,A
Cardizem,Atrial Flutte,9.2,A
Vagifem,Atrophic Vaginitis,9.5,A
Estradiol,Atrophic Vaginitis,9.308823529,A
Estring,Atrophic Vaginitis,9.214285714,A
Yuvafem,Atrophic Vaginitis,8.5,B
Purinethol,Autoimmune Hepatitis,10,A
Vitamin B12,B12 Nutritional Deficiency,10,A
Ansaid,Back Pain,10,A
Oruvail,Back Pain,10,A
Xodol,Back Pain,10,A
Acetaminophen / pamabrom,Back Pain,9.75,A
Aleve,Back Pain,9.375,A
Lorcet 10 / 650,Back Pain,9.363636364,A
Aspirin,Back Pain,9.222222222,A
Anaprox,Back Pain,9,B
Bayer Aspirin,Back Pain,9,B
Nabumetone,Back Pain,8.692307692,B
Ultram,Back Pain,8.674418605,B
Ryzolt,Back Pain,8.6,B
Acetaminophen / aspirin,Back Pain,8,C
Chloramphenicol,Bacterial Infection,10,A
Lincocin,Bacterial Infection,10,A
Lincomycin,Bacterial Infection,10,A
Ceftriaxone,Bacterial Infection,9.568181818,A
Penicillin v potassium,Bacterial Infection,9.363636364,A
Clindamycin,Bacterial Infection,9,B
Penicillin g benzathine,Bacterial Infection,9,B
Vancomycin,Bacterial Infection,8.666666667,B
Flagyl IV,Bacterial Infection,7,C
A + D Cracked Skin Relief,Bacterial Skin Infection,10,A
Bacitracin / neomycin / polymyxin b / pramoxine,Bacterial Skin Infection,10,A
Bacitracin / polymyxin b,Bacterial Skin Infection,10,A
Benzalkonium chloride / lidocaine,Bacterial Skin Infection,10,A
Polysporin First Aid Antibiotic Ointment,Bacterial Skin Infection,10,A
Triple Antibiotic,Bacterial Skin Infection,10,A
Co-trimoxazole,Bacterial Skin Infection,8,C
Clindamax,Bacterial Vaginitis,10,A
Clindesse,Bacterial Vaginitis,10,A
Vandazole,Bacterial Vaginitis,10,A
Cleocin Ovules,Bacterial Vaginitis,9.5,A
MetroGel-Vaginal,Bacterial Vaginitis,9.272727273,A
Metronidazole,Bacterial Vaginitis,8.763066202,B
Tinidazole,Bacterial Vaginitis,8.7,B
Tindamax,Bacterial Vaginitis,8.625,B
Flagyl ER,Bacterial Vaginitis,8.333333333,B
Protonix IV,Barrett's Esophagus,9.666666667,A
Lansoprazole,Barrett's Esophagus,9.428571429,A
Rifampin,Bartonellosis,9.25,A
Imiquimod,Basal Cell Carcinoma,8.76146789,B
Primidone,Benign Essential Trem,8.761904762,B
Cardura XL,Benign Prostatic Hyperplasia,10,A
Proscar,Benign Prostatic Hyperplasia,10,A
Cialis,Benign Prostatic Hyperplasia,9.447698745,A
Terazosin,Benign Prostatic Hyperplasia,9.117647059,A
Avodart,Benign Prostatic Hyperplasia,9.083333333,A
Hytrin,Benign Prostatic Hyperplasia,9,B
Saw palmetto,Benign Prostatic Hyperplasia,9,B
Tamsulosin,Benign Prostatic Hyperplasia,8.988505747,B
Dutasteride,Benign Prostatic Hyperplasia,8.823529412,B
Cardura,Benign Prostatic Hyperplasia,8.666666667,B
Finasteride,Benign Prostatic Hyperplasia,8.633333333,B
Dutasteride / tamsulosin,Benign Prostatic Hyperplasia,8.571428571,B
Silodosin,Benign Prostatic Hyperplasia,8.466666667,B
Rapaflo,Benign Prostatic Hyperplasia,8.441176471,B
Jalyn,Benign Prostatic Hyperplasia,8.333333333,B
Uroxatral,Benign Prostatic Hyperplasia,8.285714286,B
Urso,Biliary Cirrhosis,10,A
Urso Forte,Biliary Cirrhosis,10,A
Ursodiol,Biliary Cirrhosis,9.5,A
Eskalith-CR,Bipolar Disorde,10,A
Tiagabine,Bipolar Disorde,10,A
Eskalith,Bipolar Disorde,9.5,A
Lamictal,Bipolar Disorde,9.327137546,A
Lamotrigine,Bipolar Disorde,9.306722689,A
Cariprazine,Bipolar Disorde,9.255813953,A
Lithobid,Bipolar Disorde,9.25,A
Iloperidone,Bipolar Disorde,9.1875,A
Trileptal,Bipolar Disorde,9.117647059,A
Seroquel XR,Bipolar Disorde,9.10989011,A
Vraylar,Bipolar Disorde,9.029411765,A
Depakene,Bipolar Disorde,9,B
Lamictal ODT,Bipolar Disorde,9,B
Tegretol,Bipolar Disorde,9,B
Saphris,Bipolar Disorde,8.992248062,B
Lithium,Bipolar Disorde,8.97761194,B
Latuda,Bipolar Disorde,8.976525822,B
Quetiapine,Bipolar Disorde,8.973377704,B
Aripiprazole,Bipolar Disorde,8.946127946,B
Geodon,Bipolar Disorde,8.882978723,B
Olanzapine,Bipolar Disorde,8.798780488,B
Ziprasidone,Bipolar Disorde,8.795918367,B
Fluoxetine / olanzapine,Bipolar Disorde,8.794871795,B
Symbyax,Bipolar Disorde,8.771428571,B
Divalproex sodium,Bipolar Disorde,8.691780822,B
Depakote ER,Bipolar Disorde,8.666666667,B
Valproic acid,Bipolar Disorde,8.636363636,B
Zyprexa Zydis,Bipolar Disorde,8.5,B
Invega,Bipolar Disorde,8.461538462,B
Risperdal Consta,Bipolar Disorde,8.2,B
Equetro,Bipolar Disorde,7,C
Balziva,Birth Control,10,A
Cyclessa,Birth Control,10,A
Depo-Provera Contraceptive,Birth Control,10,A
Elinest,Birth Control,10,A
Gildess 1.5 / 30,Birth Control,10,A
Juleber,Birth Control,10,A
Junel 1.5 / 30,Birth Control,10,A
Pimtrea,Birth Control,10,A
Zenchent,Birth Control,10,A
Heather,Birth Control,9.75,A
Trivora,Birth Control,9.75,A
Lybrel,Birth Control,9.666666667,A
Mono-Linyah,Birth Control,9.666666667,A
Zovia 1 / 35,Birth Control,9.666666667,A
Vienva,Birth Control,9.4,A
Junel 1 / 20,Birth Control,9.333333333,A
Tri-Lo-Sprintec,Birth Control,9.333333333,A
Taytulla,Birth Control,9.277777778,A
Levonorgestrel,Birth Control,9.259535981,A
Ortho-Novum 1 / 35,Birth Control,9.25,A
Ortho-Novum 7 / 7 / 7,Birth Control,9.25,A
Aubra,Birth Control,9.216216216,A
ParaGard,Birth Control,9.200892857,A
Zarah,Birth Control,9.176470588,A
Copper,Birth Control,9.158018868,A
Loryna,Birth Control,9.157894737,A
Mirena,Birth Control,9.097661623,A
Minastrin 24 Fe,Birth Control,9.080645161,A
Chateal,Birth Control,9.075471698,A
Orsythia,Birth Control,9.046153846,A
Ortho Cyclen,Birth Control,9.045454545,A
Ortho Evra,Birth Control,9.024691358,A
Seasonique,Birth Control,9.011363636,A
Alyacen 1 / 35,Birth Control,9,B
Ashlyna,Birth Control,9,B
Ethinyl estradiol / folic acid / levonorgestrel,Birth Control,9,B
Gildess 1 / 20,Birth Control,9,B
Junel Fe 24,Birth Control,9,B
Lessina,Birth Control,9,B
Mononessa,Birth Control,9,B
Nortrel 7 / 7 / 7,Birth Control,9,B
Portia,Birth Control,9,B
Seasonale,Birth Control,9,B
Tri-Linyah,Birth Control,9,B
Skyla,Birth Control,8.982238011,B
Cryselle,Birth Control,8.956521739,B
Lyza,Birth Control,8.956521739,B
Drospirenone / ethinyl estradiol,Birth Control,8.954166667,B
Implanon,Birth Control,8.953405018,B
Kyleena,Birth Control,8.943925234,B
NuvaRing,Birth Control,8.940217391,B
Etonogestrel,Birth Control,8.931688805,B
Yaz,Birth Control,8.928571429,B
Beyaz,Birth Control,8.915254237,B
Ethinyl estradiol / etonogestrel,Birth Control,8.910326087,B
Desogen,Birth Control,8.909090909,B
Nexplanon,Birth Control,8.904137235,B
Levora,Birth Control,8.901639344,B
Junel Fe 1.5 / 30,Birth Control,8.9,B
Lutera,Birth Control,8.898305085,B
Ethinyl estradiol / levonorgestrel,Birth Control,8.897793264,B
Generess Fe,Birth Control,8.893939394,B
Depo-Provera,Birth Control,8.883116883,B
Norethindrone,Birth Control,8.883040936,B
Ortho Micronor,Birth Control,8.870967742,B
Lo Loestrin Fe,Birth Control,8.862258953,B
Aviane,Birth Control,8.861111111,B
Drospirenone / ethinyl estradiol / levomefolate calcium,Birth Control,8.860465116,B
Ortho-Cept,Birth Control,8.857142857,B
Ethinyl estradiol / norethindrone,Birth Control,8.855606759,B
Ortho Tri-Cyclen,Birth Control,8.846153846,B
Ethinyl estradiol / norelgestromin,Birth Control,8.833333333,B
Ethinyl estradiol / norgestrel,Birth Control,8.828571429,B
Blisovi Fe 1 / 20,Birth Control,8.818181818,B
Desogestrel / ethinyl estradiol,Birth Control,8.816239316,B
Kariva,Birth Control,8.814814815,B
Sronyx,Birth Control,8.805555556,B
Gildess Fe 1 / 20,Birth Control,8.803571429,B
Amethia,Birth Control,8.8,B
Zovia,Birth Control,8.8,B
Loestrin 24 Fe,Birth Control,8.792792793,B
Apri,Birth Control,8.782608696,B
Microgestin Fe 1 / 20,Birth Control,8.780898876,B
Ethinyl estradiol / ethynodiol,Birth Control,8.777777778,B
Lo / Ovral-28,Birth Control,8.75,B
Sharobel,Birth Control,8.75,B
Junel Fe 1 / 20,Birth Control,8.744897959,B
Sprintec,Birth Control,8.738636364,B
Alesse,Birth Control,8.738095238,B
Jolessa,Birth Control,8.735294118,B
Blisovi 24 Fe,Birth Control,8.722222222,B
Femcon Fe,Birth Control,8.714285714,B
Nortrel 1 / 35,Birth Control,8.714285714,B
Microgestin Fe 1.5 / 30,Birth Control,8.7,B
Liletta,Birth Control,8.69,B
Jolivette,Birth Control,8.689655172,B
Camila,Birth Control,8.666666667,B
Cyred,Birth Control,8.666666667,B
Loestrin Fe 1 / 20,Birth Control,8.666666667,B
Marlissa,Birth Control,8.666666667,B
Ortho Tri-Cyclen Lo,Birth Control,8.666666667,B
Tri-Estarylla,Birth Control,8.666666667,B
Xulane,Birth Control,8.651162791,B
Ocella,Birth Control,8.641509434,B
Previfem,Birth Control,8.625,B
Reclipsen,Birth Control,8.607843137,B
Gildess Fe 1.5 / 30,Birth Control,8.571428571,B
Nora-Be,Birth Control,8.571428571,B
Errin,Birth Control,8.555555556,B
Velivet,Birth Control,8.555555556,B
Camrese,Birth Control,8.545454545,B
Safyral,Birth Control,8.526315789,B
CamreseLo,Birth Control,8.5,B
Estarylla,Birth Control,8.5,B
Nikki,Birth Control,8.5,B
Tarina Fe 1 / 20,Birth Control,8.5,B
Vestura,Birth Control,8.5,B
Viorele,Birth Control,8.5,B
Azurette,Birth Control,8.444444444,B
Quasense,Birth Control,8.428571429,B
Lo / Ovral,Birth Control,8.333333333,B
Altavera,Birth Control,8,C
Blisovi Fe 1.5 / 30,Birth Control,8,C
Cyclafem 1 / 35,Birth Control,8,C
Introvale,Birth Control,8,C
Larin Fe 1 / 20,Birth Control,8,C
Loestrin Fe 1.5 / 30,Birth Control,8,C
Ogestrel-28,Birth Control,8,C
Rajani,Birth Control,8,C
Caziant,Birth Control,7,C
Fosfomycin,Bladder Infection,10,A
Monurol,Bladder Infection,10,A
Norfloxacin,Bladder Infection,10,A
