drugName,rating,condition,class
Acnex,10.0,Acne,A
Avar,10.0,Acne,A
Avita,10.0,Acne,A
BenzEFoam Ultra,10.0,Acne,A
Benzoyl peroxide / hydrocortisone,10.0,Acne,A
Benzoyl peroxide / sulfur,10.0,Acne,A
Clindagel,10.0,Acne,A
Desquam-X Wash,10.0,Acne,A
Ery Pads,10.0,Acne,A
Fostex Medicated,10.0,Acne,A
Hexachlorophene,10.0,Acne,A
Norinyl 1+35,10.0,Acne,A
NuOx,10.0,Acne,A
PanOxyl 10% Acne Foaming Wash,10.0,Acne,A
Pernox,10.0,Acne,A
Resorcinol / sulfur,10.0,Acne,A
Salicylic acid / sulfur,10.0,Acne,A
Sulfur,10.0,Acne,A
Vanoxide-HC,10.0,Acne,A
PanOxyl,9.75,Acne,A
Adoxa,9.666666666666666,Acne,A
Onexton,9.538461538461538,Acne,A
Benzoyl peroxide,9.523809523809524,Acne,A
Absorica,9.5,Acne,A
Tazarotene,9.428571428571429,Acne,A
Benzaclin,9.413793103448276,Acne,A
Zenatane,9.375,Acne,A
Accutane,9.3551912568306,Acne,A
Dapsone,9.348837209302326,Acne,A
Aczone,9.319327731092438,Acne,A
Isotretinoin,9.29020979020979,Acne,A
Minocin,9.25,Acne,A
Monodox,9.217391304347826,Acne,A
Acanya,9.205128205128204,Acne,A
Azelaic acid,9.196428571428571,Acne,A
Benzoyl peroxide / clindamycin,9.175627240143369,Acne,A
Differin,9.16,Acne,A
Loryna,9.142857142857142,Acne,A
Tri-Linyah,9.125,Acne,A
Benzoyl peroxide / erythromycin,9.12,Acne,A
Tetracycline,9.117647058823529,Acne,A
Doryx,9.11111111111111,Acne,A
Adapalene,9.096385542168674,Acne,A
Ziana,9.069767441860465,Acne,A
Clindamycin / tretinoin,9.066666666666666,Acne,A
Veltin,9.058823529411764,Acne,A
Adapalene / benzoyl peroxide,9.017948717948718,Acne,A
Epiduo,9.005747126436782,Acne,A
BP Wash,9.0,Acne,B
BenzEFoam,9.0,Acne,B
Benzamycin,9.0,Acne,B
Fabior,9.0,Acne,B
Myorisan,9.0,Acne,B
SMZ-TMP DS,9.0,Acne,B
Tretin-X,9.0,Acne,B
Duac,8.983193277310924,Acne,B
Claravis,8.975903614457831,Acne,B
Minocycline,8.947867298578199,Acne,B
Solodyn,8.946428571428571,Acne,B
Yasmin,8.94308943089431,Acne,B
Amnesteem,8.941176470588236,Acne,B
TriNessa,8.824175824175825,Acne,B
Ortho Tri-Cyclen,8.80952380952381,Acne,B
Microgestin Fe 1 / 20,8.767241379310345,Acne,B
Ocella,8.753623188405797,Acne,B
TriNessa Lo,8.571428571428571,Acne,B
Tri-Previfem,8.508474576271187,Acne,B
Epiduo Forte,8.454545454545455,Acne,B
Retin A Micro,8.333333333333334,Acne,B
Acticlate,8.0,Acne,C
Benzoyl peroxide / salicylic acid,8.0,Acne,C
Dynacin,8.0,Acne,C
Inova 4 / 1,8.0,Acne,C
Sumadan,8.0,Acne,C
Tolak,8.0,Actinic Keratosis,C
Effient,9.0,Acute Coronary Syndrome,B
Prasugrel,9.0,Acute Coronary Syndrome,B
Brilinta,8.666666666666666,Acute Coronary Syndrome,B
Ticagrelor,8.428571428571429,Acute Coronary Syndrome,B
Arsenic trioxide,9.0,Acute Promyelocytic Leukemia,B
Vesanoid,8.0,Acute Promyelocytic Leukemia,C
Fludrocortisone,9.090909090909092,Addisons Disease,A
Hydrocortone,8.0,Addisons Disease,C
Cortef,9.333333333333334,Adrenocortical Insufficiency,A
Norditropin,10.0,Adult Human Growth Hormone Deficiency,A
Omnitrope,10.0,Adult Human Growth Hormone Deficiency,A
Humatrope,9.5,Adult Human Growth Hormone Deficiency,A
Somatropin,9.416666666666666,Adult Human Growth Hormone Deficiency,A
Saizen,9.0,Adult Human Growth Hormone Deficiency,B
Zyprexa Intramuscular,8.0,Agitation,C
Antabuse,9.560975609756097,Alcohol Dependence,A
Disulfiram,9.53061224489796,Alcohol Dependence,A
Campral,9.439252336448599,Alcohol Dependence,A
Acamprosate,9.434426229508198,Alcohol Dependence,A
Naltrexone,9.344262295081966,Alcohol Dependence,A
Vivitrol,9.333333333333334,Alcohol Dependence,A
Revia,9.285714285714286,Alcohol Dependence,A
Librium,9.61111111111111,Alcohol Withdrawal,A
Chlordiazepoxide,9.596153846153847,Alcohol Withdrawal,A
Baclofen,9.026315789473685,Alcohol Withdrawal,A
EpiPen,10.0,Allergic Reactions,A
Benadryl Allergy,9.428571428571429,Allergic Reactions,A
Q-Dryl,9.0,Allergic Reactions,B
Alahist LQ,10.0,Allergic Rhinitis,A
Allegra ODT,10.0,Allergic Rhinitis,A
Astelin,10.0,Allergic Rhinitis,A
Childrens Claritin Allergy,10.0,Allergic Rhinitis,A
Clemastine,10.0,Allergic Rhinitis,A
Deconamine,10.0,Allergic Rhinitis,A
Dexchlorpheniramine,10.0,Allergic Rhinitis,A
Diphenhydramine / phenylephrine,10.0,Allergic Rhinitis,A
Drixoral Cold / Flu,10.0,Allergic Rhinitis,A
Nasacort AQ,10.0,Allergic Rhinitis,A
R-Tanna,10.0,Allergic Rhinitis,A
Zyrtec-D 12 Hour,10.0,Allergic Rhinitis,A
Drixoral Cold and Allergy,9.953488372093023,Allergic Rhinitis,A
Dexbrompheniramine / pseudoephedrine,9.94,Allergic Rhinitis,A
Chlorpheniramine / phenylephrine,9.9,Allergic Rhinitis,A
Patanase,9.777777777777779,Allergic Rhinitis,A
Brompheniramine / pseudoephedrine,9.75,Allergic Rhinitis,A
Brompheniramine,9.666666666666666,Allergic Rhinitis,A
Cetirizine / pseudoephedrine,9.666666666666666,Allergic Rhinitis,A
Rhinocort,9.666666666666666,Allergic Rhinitis,A
Chlorpheniramine / pseudoephedrine,9.625,Allergic Rhinitis,A
Kenalog-40,9.6,Allergic Rhinitis,A
Omnaris,9.6,Allergic Rhinitis,A
Azelastine / fluticasone,9.578947368421053,Allergic Rhinitis,A
Dymista,9.578947368421053,Allergic Rhinitis,A
Nasacort,9.571428571428571,Allergic Rhinitis,A
Azelastine,9.522727272727273,Allergic Rhinitis,A
Nasacort Allergy 24HR,9.5,Allergic Rhinitis,A
Rhinocort Aqua,9.5,Allergic Rhinitis,A
Zyrtec-D,9.5,Allergic Rhinitis,A
Olopatadine,9.487179487179487,Allergic Rhinitis,A
Singulair,9.432098765432098,Allergic Rhinitis,A
Acetaminophen / dexbrompheniramine / pseudoephedrine,9.333333333333334,Allergic Rhinitis,A
Carbinoxamine,9.333333333333334,Allergic Rhinitis,A
Nasonex,9.318181818181818,Allergic Rhinitis,A
Montelukast,9.302521008403362,Allergic Rhinitis,A
Ciclesonide,9.25,Allergic Rhinitis,A
Astepro,9.214285714285714,Allergic Rhinitis,A
All Day Allergy,9.0,Allergic Rhinitis,B
Allegra-D 12 Hour,9.0,Allergic Rhinitis,B
Beconase AQ,9.0,Allergic Rhinitis,B
Benadryl Allergy Sinus,9.0,Allergic Rhinitis,B
Clarinex-D 12 Hour,9.0,Allergic Rhinitis,B
Claritin-D 24 Hour,9.0,Allergic Rhinitis,B
Desloratadine / pseudoephedrine,9.0,Allergic Rhinitis,B
Diphenhydramine / pseudoephedrine,9.0,Allergic Rhinitis,B
Flunisolide,9.0,Allergic Rhinitis,B
Nasarel,9.0,Allergic Rhinitis,B
Palgic,9.0,Allergic Rhinitis,B
QNASL,9.0,Allergic Rhinitis,B
Wal-finate,9.0,Allergic Rhinitis,B
Pseudoephedrine / triprolidine,8.777777777777779,Allergic Rhinitis,B
Claritin,8.75,Allergic Rhinitis,B
Actifed,8.714285714285714,Allergic Rhinitis,B
Fexofenadine / pseudoephedrine,8.52,Allergic Rhinitis,B
Allegra-D 24 Hour,8.4,Allergic Rhinitis,B
Clarinex,8.25,Allergic Rhinitis,B
Triprolidine,10.0,Allergies,A
Zymine,10.0,Allergies,A
Rogaine Womens,10.0,Alopecia,A
Kenalog-10,9.7,Alopecia,A
Triamcinolone,9.504950495049505,Alopecia,A
Rogaine Men's Extra Strength,9.0,Alopecia,B
Rogaine Women's,9.0,Alopecia,B
Minoxidil,8.928571428571429,Alopecia,B
Rogaine,8.444444444444445,Alopecia,B
Alpha 1-proteinase inhibitor,10.0,Alpha-1 Proteinase Inhibitor Deficiency,A
Prolastin-C,10.0,Alpha-1 Proteinase Inhibitor Deficiency,A
Zemaira,10.0,Alpha-1 Proteinase Inhibitor Deficiency,A
Razadyne ER,10.0,Alzheimers Disease,A
Galantamine,9.333333333333334,Alzheimers Disease,A
Donepezil,8.85,Alzheimers Disease,B
Rivastigmine,8.727272727272727,Alzheimers Disease,B
Exelon,8.666666666666666,Alzheimers Disease,B
Memantine,8.666666666666666,Alzheimers Disease,B
Namenda,8.5,Alzheimers Disease,B
Aricept,8.444444444444445,Alzheimers Disease,B
Namenda XR,8.0,Alzheimers Disease,C
Rectiv,8.333333333333334,Anal Fissure and Fistula,B
Boudreaux Butt Paste,9.333333333333334,Anal Itching,A
Finasteride,8.571428571428571,Androgenetic Alopecia,B
Propecia,8.5,Androgenetic Alopecia,B
Ferralet 90,10.0,Anemia,A
Integra,10.0,Anemia,A
Oxymetholone,10.0,Anemia,A
Multivitamin with iron,9.5,Anemia,A
Integra F,9.0,Anemia,B
Maxaron Forte,9.0,Anemia,B
Epogen,8.5,Anemia,B
Aranesp,9.0,Anemia Associated with Chronic Renal Failure,B
Feosol Original,9.0,Anemia Associated with Chronic Renal Failure,B
Epoetin alfa,8.75,Anemia Associated with Chronic Renal Failure,B
Darbepoetin alfa,9.0,Anemia Chemotherapy Induced,B
Procrit,9.0,Anemia Chemotherapy Induced,B
Ketalar,10.0,Anesthesia,A
Oraqix,10.0,Anesthesia,A
Pentothal,10.0,Anesthesia,A
Rocuronium,10.0,Anesthesia,A
Thiopental,10.0,Anesthesia,A
Diprivan,9.785714285714286,Anesthesia,A
Emla,9.75,Anesthesia,A
Propofol,9.638743455497382,Anesthesia,A
Lidocaine / prilocaine,9.142857142857142,Anesthesia,A
Dilaudid-HP,9.833333333333334,Anesthetic Adjunct,A
Ranexa,9.4,Angina,A
Ranolazine,9.321428571428571,Angina,A
Nitroglycerin,9.19047619047619,Angina,A
Isosorbide dinitrate,9.0,Angina,B
Nitrostat,9.0,Angina,B
Imdur,8.75,Angina Pectoris Prophylaxis,B
Isosorbide mononitrate,8.733333333333333,Angina Pectoris Prophylaxis,B
Danazol,9.4,Angioedema,A
Indocin SR,8.75,Ankylosing Spondylitis,B
Cyproheptadine,9.466019417475728,Anorexia,A
Aspirin / meprobamate,10.0,Anxiety,A
Micrainin,10.0,Anxiety,A
Tranxene SD,10.0,Anxiety,A
Zetran,10.0,Anxiety,A
Diazepam Intensol,9.833333333333334,Anxiety,A
Limbitrol DS,9.666666666666666,Anxiety,A
Valium,9.529069767441861,Anxiety,A
Alprazolam,9.506188118811881,Anxiety,A
Amitriptyline / perphenazine,9.5,Anxiety,A
Triavil,9.5,Anxiety,A
Xanax,9.495238095238095,Anxiety,A
Diazepam,9.441988950276244,Anxiety,A
Tranxene,9.428571428571429,Anxiety,A
Clorazepate,9.363636363636363,Anxiety,A
Compazine,9.3125,Anxiety,A
Prochlorperazine,9.28125,Anxiety,A
Serax,9.090909090909092,Anxiety,A
Gabapentin,9.05533199195171,Anxiety,A
Oxazepam,9.051282051282051,Anxiety,A
Paroxetine,9.012173913043478,Anxiety,A
Atenolol,9.0,Anxiety,B
BuSpar,9.0,Anxiety,B
Lorazepam Intensol,9.0,Anxiety,B
Pexeva,9.0,Anxiety,B
Buspirone,8.92816091954023,Anxiety,B
Tenormin,8.882352941176471,Anxiety,B
Phenytoin,8.872340425531915,Anxiety,B
Atarax,8.796610169491526,Anxiety,B
Meprobamate,8.666666666666666,Anxiety,B
Miltown,8.0,Anxiety,C
Prazosin,9.424657534246576,Anxiety and Stress,A
Amitriptyline,9.125177809388335,Anxiety and Stress,A
Elavil,9.102564102564102,Anxiety and Stress,A
Fluoxetine,9.06207827260459,Anxiety and Stress,A
Prozac,9.022321428571429,Anxiety and Stress,A
Prozac Weekly,9.0,Anxiety and Stress,B
Citalopram,8.98093220338983,Anxiety and Stress,B
Celexa,8.957356076759062,Anxiety and Stress,B
Orajel,8.0,Aphthous Ulce,C
Mexitil,10.0,Arrhythmia,A
Pacerone,9.5,Arrhythmia,A
Dofetilide,9.096774193548388,Arrhythmia,A
Tikosyn,9.066666666666666,Arrhythmia,A
Norpace CR,9.0,Arrhythmia,B
Amiodarone,8.75,Arrhythmia,B
Disopyramide,8.6,Arrhythmia,B
Cordarone,8.0,Arrhythmia,C
Norpace,8.0,Arrhythmia,C
Quinidine,8.0,Arrhythmia,C
Risperdal,8.8125,Asperger Syndrome,B
Aerobid,10.0,Asthma,A
Azmacort,10.0,Asthma,A
Ipratropium Inhalation Solution,10.0,Asthma,A
Mepolizumab,10.0,Asthma,A
Nucala,10.0,Asthma,A
Atrovent,9.166666666666666,Asthma,A
Cinqair,8.0,Asthma,C
Reslizumab,8.0,Asthma,C
Accolate,10.0,Asthma Maintenance,A
Intal,10.0,Asthma Maintenance,A
Intal Inhaler,10.0,Asthma Maintenance,A
Zafirlukast,10.0,Asthma Maintenance,A
Cromolyn,9.88888888888889,Asthma Maintenance,A
Asmanex Twisthaler,9.75,Asthma Maintenance,A
Flovent HFA,9.666666666666666,Asthma Maintenance,A
Pulmicort Flexhaler,9.666666666666666,Asthma Maintenance,A
Xolair,9.571428571428571,Asthma Maintenance,A
Flovent,9.5,Asthma Maintenance,A
Metaproterenol,9.5,Asthma Maintenance,A
Theo-24,9.5,Asthma Maintenance,A
Theophylline,9.428571428571429,Asthma Maintenance,A
Uniphyl,9.333333333333334,Asthma Maintenance,A
Advair HFA,9.2,Asthma Maintenance,A
Alvesco,9.090909090909092,Asthma Maintenance,A
AirDuo Respiclick,9.0,Asthma Maintenance,B
Dulera,9.0,Asthma Maintenance,B
Maxair,9.0,Asthma Maintenance,B
Maxair Autohaler,9.0,Asthma Maintenance,B
Pirbuterol,9.0,Asthma Maintenance,B
Pulmicort Respules,9.0,Asthma Maintenance,B
Beclomethasone,8.814814814814815,Asthma Maintenance,B
Qvar,8.777777777777779,Asthma Maintenance,B
Arnuity Ellipta,8.5,Asthma Maintenance,B
Pulmicort Turbuhaler,8.5,Asthma Maintenance,B
Proventil,8.0,Asthma Maintenance,C
Isoproterenol,10.0,Asthma acute,A
Epinephrine,9.642857142857142,Asthma acute,A
Primatene Mist,9.444444444444445,Asthma acute,A
Asthmanefrin,9.4,Asthma acute,A
Racepinephrine,9.333333333333334,Asthma acute,A
Xopenex HFA,9.333333333333334,Asthma acute,A
Ephedrine,9.0,Asthma acute,B
Vospire ER,9.0,Asthma acute,B
Prednisolone,8.666666666666666,Asthma acute,B
Sodium bicarbonate,10.0,Asystole,A
Capex,10.0,Atopic Dermatitis,A
Olux-E,10.0,Atopic Dermatitis,A
Clobetasol,9.662337662337663,Atopic Dermatitis,A
Protopic,9.411764705882353,Atopic Dermatitis,A
Crisaborole,9.117647058823529,Atopic Dermatitis,A
Eucrisa,9.117647058823529,Atopic Dermatitis,A
Tacrolimus,9.057692307692308,Atopic Dermatitis,A
Diprolene AF,9.0,Atopic Dermatitis,B
Kenalog,9.0,Atopic Dermatitis,B
Dilt-XR,10.0,Atrial Fibrillation,A
Lanoxicaps,10.0,Atrial Fibrillation,A
Sotalol Hydrochloride AF,10.0,Atrial Fibrillation,A
Tiazac,10.0,Atrial Fibrillation,A
Cartia XT,9.636363636363637,Atrial Fibrillation,A
Digoxin,9.6,Atrial Fibrillation,A
Flecainide,9.428571428571429,Atrial Fibrillation,A
Tambocor,9.333333333333334,Atrial Fibrillation,A
Multaq,9.3,Atrial Fibrillation,A
Cardizem,9.285714285714286,Atrial Fibrillation,A
Rythmol SR,9.285714285714286,Atrial Fibrillation,A
Diltiazem,9.224489795918368,Atrial Fibrillation,A
Sotalol,9.15,Atrial Fibrillation,A
Propafenone,9.121212121212121,Atrial Fibrillation,A
Dronedarone,9.083333333333334,Atrial Fibrillation,A
Rythmol,9.0,Atrial Fibrillation,B
Xarelto,8.918032786885245,Atrial Fibrillation,B
Rivaroxaban,8.846153846153847,Atrial Fibrillation,B
Cardizem CD,8.0,Atrial Fibrillation,C
Cardizem LA,8.0,Atrial Fibrillation,C
Femring,9.384615384615385,Atrophic Vaginitis,A
Vagifem,9.384615384615385,Atrophic Vaginitis,A
Estradiol,9.354651162790697,Atrophic Vaginitis,A
Estring,9.1875,Atrophic Vaginitis,A
Estrace Vaginal Cream,9.115384615384615,Atrophic Vaginitis,A
Yuvafem,8.666666666666666,Atrophic Vaginitis,B
Risperidone,8.892045454545455,Autism,B
Purinethol,10.0,Autoimmune Hepatitis,A
Azathioprine,8.692307692307692,Autoimmune Hepatitis,B
Cyanocobalamin,10.0,B12 Nutritional Deficiency,A
Vitamin B12,10.0,B12 Nutritional Deficiency,A
Oruvail,10.0,Back Pain,A
Xodol,10.0,Back Pain,A
Acetaminophen / pamabrom,9.727272727272727,Back Pain,A
Flurbiprofen,9.4,Back Pain,A
Zipsor,9.318181818181818,Back Pain,A
Cataflam,9.206896551724139,Back Pain,A
Motrin,9.090909090909092,Back Pain,A
Ansaid,9.0,Back Pain,B
Acetaminophen / aspirin,8.5,Back Pain,B
Bayer Aspirin,8.333333333333334,Back Pain,B
Moxatag,9.0,Bacterial Endocarditis Prevention,B
Chloramphenicol,10.0,Bacterial Infection,A
Garlic,10.0,Bacterial Infection,A
Lincocin,10.0,Bacterial Infection,A
Lincomycin,10.0,Bacterial Infection,A
Penicillin VK,9.833333333333334,Bacterial Infection,A
Penicillin v potassium,9.4375,Bacterial Infection,A
Cephalexin,9.082089552238806,Bacterial Infection,A
Clindamycin,9.01086956521739,Bacterial Infection,A
Vancomycin,8.75,Bacterial Infection,B
Vibramycin,8.6,Bacterial Infection,B
Flagyl IV,7.0,Bacterial Infection,C
A + D Cracked Skin Relief,10.0,Bacterial Skin Infection,A
Bacitracin / neomycin / polymyxin b / pramoxine,10.0,Bacterial Skin Infection,A
Bacitracin / polymyxin b,10.0,Bacterial Skin Infection,A
Benzalkonium chloride / lidocaine,10.0,Bacterial Skin Infection,A
Neosporin,10.0,Bacterial Skin Infection,A
Polysporin First Aid Antibiotic Ointment,10.0,Bacterial Skin Infection,A
Triple Antibiotic,10.0,Bacterial Skin Infection,A
Bacitracin / neomycin / polymyxin b,9.75,Bacterial Skin Infection,A
Bactrim,9.25,Bacterial Skin Infection,A
Septra,9.142857142857142,Bacterial Skin Infection,A
Sulfamethoxazole / trimethoprim,9.093167701863354,Bacterial Skin Infection,A
Co-trimoxazole,8.0,Bacterial Skin Infection,C
Clindesse,10.0,Bacterial Vaginitis,A
Cleocin Ovules,9.5,Bacterial Vaginitis,A
Clindamax,9.5,Bacterial Vaginitis,A
Vandazole,9.5,Bacterial Vaginitis,A
MetroGel-Vaginal,9.166666666666666,Bacterial Vaginitis,A
Tinidazole,8.702702702702704,Bacterial Vaginitis,B
Flagyl ER,8.333333333333334,Bacterial Vaginitis,B
Nuvessa,7.0,Bacterial Vaginitis,C
Esomeprazole,9.493975903614459,Barretts Esophagus,A
Nexium,9.493150684931507,Barretts Esophagus,A
Dexlansoprazole,9.306122448979592,Barretts Esophagus,A
Mysoline,9.0,Benign Essential Trem,B
Primidone,8.72,Benign Essential Trem,B
Cardura XL,10.0,Benign Prostatic Hyperplasia,A
Proscar,10.0,Benign Prostatic Hyperplasia,A
Minipress,9.625,Benign Prostatic Hyperplasia,A
Saw palmetto,9.333333333333334,Benign Prostatic Hyperplasia,A
Flomax,9.164556962025317,Benign Prostatic Hyperplasia,A
Doxazosin,9.11111111111111,Benign Prostatic Hyperplasia,A
Tamsulosin,9.0,Benign Prostatic Hyperplasia,B
Avodart,8.9375,Benign Prostatic Hyperplasia,B
Dutasteride,8.88888888888889,Benign Prostatic Hyperplasia,B
Cardura,8.75,Benign Prostatic Hyperplasia,B
Alfuzosin,8.454545454545455,Benign Prostatic Hyperplasia,B
Rapaflo,8.404761904761905,Benign Prostatic Hyperplasia,B
Jalyn,8.375,Benign Prostatic Hyperplasia,B
Silodosin,8.361702127659575,Benign Prostatic Hyperplasia,B
Dutasteride / tamsulosin,8.333333333333334,Benign Prostatic Hyperplasia,B
Uroxatral,8.285714285714286,Benign Prostatic Hyperplasia,B
Urso,10.0,Biliary Cirrhosis,A
Urso Forte,10.0,Biliary Cirrhosis,A
Ursodiol,9.11111111111111,Biliary Cirrhosis,A
Eskalith-CR,10.0,Bipolar Disorde,A
Tiagabine,9.5,Bipolar Disorde,A
Risperdal M-Tab,9.4,Bipolar Disorde,A
Lamotrigine,9.312186978297161,Bipolar Disorde,A
Lamictal,9.289156626506024,Bipolar Disorde,A
Eskalith,9.2,Bipolar Disorde,A
Trileptal,9.125,Bipolar Disorde,A
Vraylar,9.12,Bipolar Disorde,A
Oxcarbazepine,9.090225563909774,Bipolar Disorde,A
Cariprazine,9.081632653061224,Bipolar Disorde,A
Lithium,9.070175438596491,Bipolar Disorde,A
Iloperidone,9.055555555555555,Bipolar Disorde,A
Asenapine,9.051428571428572,Bipolar Disorde,A
Saphris,9.036809815950921,Bipolar Disorde,A
Depakene,9.0,Bipolar Disorde,B
Lamictal ODT,9.0,Bipolar Disorde,B
Lithobid,9.0,Bipolar Disorde,B
Latuda,8.977695167286246,Bipolar Disorde,B
Lurasidone,8.956521739130435,Bipolar Disorde,B
Tegretol,8.951612903225806,Bipolar Disorde,B
Valproic acid,8.933333333333334,Bipolar Disorde,B
Zyprexa Zydis,8.916666666666666,Bipolar Disorde,B
Geodon,8.873949579831933,Bipolar Disorde,B
Ziprasidone,8.824817518248175,Bipolar Disorde,B
Paliperidone,8.792207792207792,Bipolar Disorde,B
Divalproex sodium,8.701086956521738,Bipolar Disorde,B
Depakote,8.663716814159292,Bipolar Disorde,B
Invega,8.64864864864865,Bipolar Disorde,B
Equetro,7.0,Bipolar Disorde,C
Balziva,10.0,Birth Control,A
Depo-Provera Contraceptive,10.0,Birth Control,A
Elinest,10.0,Birth Control,A
Gildess 1.5 / 30,10.0,Birth Control,A
Juleber,10.0,Birth Control,A
Junel 1.5 / 30,10.0,Birth Control,A
Pimtrea,10.0,Birth Control,A
Zenchent,10.0,Birth Control,A
Zovia 1 / 50,10.0,Birth Control,A
depo-subQ provera 104,10.0,Birth Control,A
Heather,9.75,Birth Control,A
Lybrel,9.75,Birth Control,A
Trivora,9.666666666666666,Birth Control,A
Mono-Linyah,9.5,Birth Control,A
Natazia,9.458333333333334,Birth Control,A
Vienva,9.4,Birth Control,A
Junel 1 / 20,9.333333333333334,Birth Control,A
Ortho-Novum 7 / 7 / 7,9.333333333333334,Birth Control,A
Loestrin 21 1 / 20,9.3,Birth Control,A
Taytulla,9.285714285714286,Birth Control,A
Levonorgestrel,9.261198547215496,Birth Control,A
Microgestin 1 / 20,9.25,Birth Control,A
Zovia 1 / 35,9.25,Birth Control,A
ParaGard,9.245098039215685,Birth Control,A
Tri-Lo-Sprintec,9.217391304347826,Birth Control,A
Copper,9.180608365019012,Birth Control,A
Ashlyna,9.166666666666666,Birth Control,A
Zarah,9.135135135135135,Birth Control,A
Seasonique,9.128712871287128,Birth Control,A
Mirena,9.095088819226751,Birth Control,A
Chateal,9.08955223880597,Birth Control,A
Aubra,9.081632653061224,Birth Control,A
Minastrin 24 Fe,9.075,Birth Control,A
Ortho Cyclen,9.064516129032258,Birth Control,A
Mononessa,9.042553191489361,Birth Control,A
Yaz,9.011406844106464,Birth Control,A
Skyla,9.005698005698006,Birth Control,A
Alyacen 1 / 35,9.0,Birth Control,B
Cyclessa,9.0,Birth Control,B
Emoquette,9.0,Birth Control,B
Enskyce,9.0,Birth Control,B
Gildess 1 / 20,9.0,Birth Control,B
Levlen,9.0,Birth Control,B
Nonoxynol 9,9.0,Birth Control,B
Nortrel 7 / 7 / 7,9.0,Birth Control,B
Implanon,8.994845360824742,Birth Control,B
Kyleena,8.966216216216216,Birth Control,B
Drospirenone / ethinyl estradiol,8.962962962962964,Birth Control,B
Sronyx,8.96078431372549,Birth Control,B
Lyza,8.96,Birth Control,B
Orsythia,8.948717948717949,Birth Control,B
Ortho Evra,8.947867298578199,Birth Control,B
Levora,8.945945945945946,Birth Control,B
Etonogestrel,8.939467312348668,Birth Control,B
Ethinyl estradiol / ethynodiol,8.931034482758621,Birth Control,B
Junel Fe 1.5 / 30,8.928571428571429,Birth Control,B
Ethinyl estradiol / etonogestrel,8.925531914893616,Birth Control,B
NuvaRing,8.925373134328359,Birth Control,B
Blisovi Fe 1 / 20,8.923076923076923,Birth Control,B
Gildess Fe 1.5 / 30,8.916666666666666,Birth Control,B
Ethinyl estradiol / levonorgestrel,8.906871609403256,Birth Control,B
Lo Loestrin Fe,8.906639004149378,Birth Control,B
Nexplanon,8.906055900621118,Birth Control,B
Aviane,8.900523560209423,Birth Control,B
Cryselle,8.892857142857142,Birth Control,B
Portia,8.885714285714286,Birth Control,B
Beyaz,8.883116883116884,Birth Control,B
Ethinyl estradiol / norelgestromin,8.873846153846154,Birth Control,B
Jolivette,8.870967741935484,Birth Control,B
Lutera,8.870967741935484,Birth Control,B
Jolessa,8.869565217391305,Birth Control,B
Apri,8.864,Birth Control,B
Ortho-Novum 1 / 35,8.857142857142858,Birth Control,B
